Date,CPI Raw,CPI MoM%,CPI 6M % Change,CPI Annualized % Change,Core Raw,Core MoM%,Core 6M % Change,Core Annualized % Change,GDP,Unemployment Rate, SPX , DJI , NDX ,Fed Funds Rate
9/1/2000,173.6,0.5%,1.5%,3.0%,182.3,0.2%,1.3%,2.6%,1.830366667,3.9," 1,436.48 "," 10,650.92 "," 3,570.61 ",6.52
10/1/2000,173.9,0.2%,1.8%,3.5%,182.6,0.2%,1.3%,2.6%,1.3731,3.9," 1,429.39 "," 10,971.14 "," 3,282.30 ",6.51
11/1/2000,174.2,0.2%,1.8%,3.5%,183.1,0.3%,1.3%,2.7%,1.576,3.9," 1,314.95 "," 10,414.49 "," 2,506.54 ",6.51
12/1/2000,174.6,0.2%,1.4%,2.8%,183.3,0.1%,1.2%,2.4%,1.7789,3.9," 1,320.50 "," 10,787.99 "," 2,341.70 ",6.4
1/1/2001,175.6,0.6%,1.7%,3.4%,183.9,0.3%,1.3%,2.6%,1.9818,4.2," 1,366.01 "," 10,887.36 "," 2,593.00 ",5.98
2/1/2001,176,0.2%,1.9%,3.8%,184.4,0.3%,1.4%,2.7%,1.566133333,4.2," 1,239.94 "," 10,495.28 "," 1,908.32 ",5.49
3/1/2001,176.1,0.1%,1.4%,2.9%,184.7,0.2%,1.3%,2.6%,1.150466667,4.3," 1,160.34 "," 9,878.78 "," 1,573.25 ",5.31
4/1/2001,176.4,0.2%,1.4%,2.9%,185.1,0.2%,1.4%,2.7%,0.7348,4.4," 1,249.48 "," 10,734.97 "," 1,855.15 ",4.8
5/1/2001,177.3,0.5%,1.8%,3.6%,185.3,0.1%,1.2%,2.4%,0.371566667,4.3," 1,255.84 "," 10,911.94 "," 1,799.89 ",4.21
6/1/2001,177.7,0.2%,1.8%,3.6%,186,0.4%,1.5%,2.9%,0.008333333,4.5," 1,226.99 "," 10,502.40 "," 1,830.19 ",3.97
7/1/2001,177.4,-0.2%,1.0%,2.1%,186.4,0.2%,1.4%,2.7%,-0.3549,4.6," 1,211.22 "," 10,522.81 "," 1,683.61 ",3.77
8/1/2001,177.4,0.0%,0.8%,1.6%,186.7,0.2%,1.2%,2.5%,-0.162066667,4.9," 1,133.58 "," 9,949.75 "," 1,469.70 ",3.65
9/1/2001,178.1,0.4%,1.1%,2.3%,187.1,0.2%,1.3%,2.6%,0.030766667,5," 1,040.90 "," 8,847.56 "," 1,168.37 ",3.07
10/1/2001,177.6,-0.3%,0.7%,1.4%,187.4,0.2%,1.2%,2.5%,0.2236,5.3," 1,059.78 "," 9,075.14 "," 1,364.78 ",2.49
11/1/2001,177.5,-0.1%,0.1%,0.2%,188.1,0.4%,1.5%,3.0%,2.094266667,5.5," 1,139.45 "," 9,851.56 "," 1,596.05 ",2.09
12/1/2001,177.4,-0.1%,-0.2%,-0.3%,188.4,0.2%,1.3%,2.6%,3.964933333,5.7," 1,148.16 "," 10,021.50 "," 1,577.05 ",1.82
1/1/2002,177.7,0.2%,0.2%,0.3%,188.7,0.2%,1.2%,2.5%,5.8356,5.7," 1,130.18 "," 9,920.00 "," 1,550.17 ",1.73
2/1/2002,178,0.2%,0.3%,0.7%,189.1,0.2%,1.3%,2.6%,4.243533333,5.7," 1,106.74 "," 10,106.13 "," 1,359.22 ",1.74
3/1/2002,178.5,0.3%,0.2%,0.4%,189.2,0.1%,1.1%,2.2%,2.651466667,5.7," 1,147.39 "," 10,403.94 "," 1,452.81 ",1.73
4/1/2002,179.3,0.4%,1.0%,1.9%,189.7,0.3%,1.2%,2.5%,1.0594,5.9," 1,076.87 "," 9,946.22 "," 1,277.07 ",1.75
5/1/2002,179.5,0.1%,1.1%,2.3%,190,0.2%,1.0%,2.0%,1.7518,5.8," 1,067.18 "," 9,925.25 "," 1,208.34 ",1.75
6/1/2002,179.6,0.1%,1.2%,2.5%,190.2,0.1%,1.0%,1.9%,2.4442,5.8, 989.44 ," 9,243.26 "," 1,050.30 ",1.75
7/1/2002,180,0.2%,1.3%,2.6%,190.5,0.2%,1.0%,1.9%,3.1366,5.8, 911.62 ," 8,736.59 ", 962.11 ,1.73
8/1/2002,180.5,0.3%,1.4%,2.8%,191.1,0.3%,1.1%,2.1%,2.339133333,5.7, 916.08 ," 8,663.50 ", 942.38 ,1.74
9/1/2002,180.8,0.2%,1.3%,2.6%,191.3,0.1%,1.1%,2.2%,1.541666667,5.7, 815.26 ," 7,591.93 ", 832.52 ,1.75
10/1/2002,181.2,0.2%,1.1%,2.1%,191.5,0.1%,0.9%,1.9%,0.7442,5.7, 885.76 ," 8,397.03 ", 989.54 ,1.75
11/1/2002,181.5,0.2%,1.1%,2.2%,191.9,0.2%,1.0%,2.0%,1.0288,5.9, 936.31 ," 8,896.09 "," 1,116.10 ",1.34
12/1/2002,181.8,0.2%,1.2%,2.4%,192.1,0.1%,1.0%,2.0%,1.3134,6, 879.82 ," 8,341.63 ", 984.36 ,1.24
1/1/2003,182.6,0.4%,1.4%,2.9%,192.4,0.2%,1.0%,2.0%,1.598,5.8, 855.70 ," 8,053.81 ", 983.05 ,1.24
2/1/2003,183.6,0.5%,1.7%,3.4%,192.5,0.1%,0.7%,1.5%,1.855333333,5.9, 841.15 ," 7,891.08 "," 1,009.74 ",1.26
3/1/2003,183.9,0.2%,1.7%,3.4%,192.5,0.0%,0.6%,1.3%,2.112666667,5.9, 848.12 ," 7,992.13 "," 1,018.66 ",1.25
4/1/2003,183.2,-0.4%,1.1%,2.2%,192.5,0.0%,0.5%,1.0%,2.37,6, 916.92 ," 8,480.09 "," 1,106.06 ",1.26
5/1/2003,182.9,-0.2%,0.8%,1.5%,192.9,0.2%,0.5%,1.0%,3.964866667,6.1, 963.59 ," 8,850.26 "," 1,197.89 ",1.26
6/1/2003,183.1,0.1%,0.7%,1.4%,193,0.1%,0.5%,0.9%,5.559733333,6.3, 974.50 ," 8,985.44 "," 1,201.69 ",1.22
7/1/2003,183.7,0.3%,0.6%,1.2%,193.4,0.2%,0.5%,1.0%,7.1546,6.2, 990.31 ," 9,233.80 "," 1,276.94 ",1.01
8/1/2003,184.5,0.4%,0.5%,1.0%,193.6,0.1%,0.6%,1.1%,6.111,6.1," 1,008.03 "," 9,415.82 "," 1,341.20 ",1.03
9/1/2003,185.1,0.3%,0.7%,1.3%,193.7,0.1%,0.6%,1.2%,5.0674,6.1, 995.95 ," 9,275.06 "," 1,303.70 ",1.01
10/1/2003,184.9,-0.1%,0.9%,1.9%,194,0.2%,0.8%,1.6%,4.0238,6," 1,050.71 "," 9,801.12 "," 1,416.39 ",1.01
11/1/2003,185,0.1%,1.1%,2.3%,194,0.0%,0.6%,1.1%,4.0684,5.8," 1,058.20 "," 9,782.46 "," 1,424.25 ",1
12/1/2003,185.5,0.3%,1.3%,2.6%,194.2,0.1%,0.6%,1.2%,4.113,5.7," 1,111.92 "," 10,453.92 "," 1,467.92 ",0.98
1/1/2004,186.3,0.4%,1.4%,2.8%,194.6,0.2%,0.6%,1.2%,4.1576,5.7," 1,131.13 "," 10,488.07 "," 1,493.08 ",1
2/1/2004,186.7,0.2%,1.2%,2.4%,194.9,0.2%,0.7%,1.3%,3.786466667,5.6," 1,144.94 "," 10,583.92 "," 1,470.38 ",1.01
3/1/2004,187.1,0.2%,1.1%,2.2%,195.5,0.3%,0.9%,1.9%,3.415333333,5.8," 1,126.21 "," 10,357.70 "," 1,438.41 ",1
4/1/2004,187.4,0.2%,1.4%,2.7%,195.9,0.2%,1.0%,2.0%,3.0442,5.6," 1,107.24 "," 10,225.57 "," 1,401.36 ",1
5/1/2004,188.2,0.4%,1.7%,3.5%,196.2,0.2%,1.1%,2.3%,3.266566667,5.6," 1,120.64 "," 10,188.45 "," 1,466.22 ",1
6/1/2004,188.9,0.4%,1.8%,3.7%,196.6,0.2%,1.2%,2.5%,3.488933333,5.6," 1,140.75 "," 10,435.48 "," 1,516.64 ",1.03
7/1/2004,189.1,0.1%,1.5%,3.0%,196.8,0.1%,1.1%,2.3%,3.7113,5.5," 1,101.72 "," 10,139.71 "," 1,400.39 ",1.26
8/1/2004,189.2,0.1%,1.3%,2.7%,196.9,0.1%,1.0%,2.1%,3.5233,5.4," 1,104.24 "," 10,173.92 "," 1,368.68 ",1.43
9/1/2004,189.8,0.3%,1.4%,2.9%,197.5,0.3%,1.0%,2.0%,3.3353,5.4," 1,114.58 "," 10,080.27 "," 1,412.74 ",1.61
10/1/2004,190.8,0.5%,1.8%,3.6%,197.9,0.2%,1.0%,2.0%,3.1473,5.5," 1,130.20 "," 10,027.47 "," 1,486.72 ",1.76
11/1/2004,191.7,0.5%,1.9%,3.7%,198.3,0.2%,1.1%,2.1%,3.1274,5.4," 1,173.82 "," 10,428.02 "," 1,571.50 ",1.93
12/1/2004,191.7,0.0%,1.5%,3.0%,198.6,0.2%,1.0%,2.0%,3.1075,5.4," 1,211.92 "," 10,783.01 "," 1,621.12 ",2.16
1/1/2005,191.6,-0.1%,1.3%,2.6%,199,0.2%,1.1%,2.2%,3.0876,5.3," 1,181.27 "," 10,489.94 "," 1,519.63 ",2.28
2/1/2005,192.4,0.4%,1.7%,3.4%,199.4,0.2%,1.3%,2.5%,3.1964,5.4," 1,210.41 "," 10,766.23 "," 1,511.02 ",2.5
3/1/2005,193.1,0.4%,1.7%,3.5%,200.1,0.4%,1.3%,2.6%,3.3052,5.2," 1,180.59 "," 10,503.76 "," 1,482.53 ",2.63
4/1/2005,193.7,0.3%,1.5%,3.0%,200.2,0.0%,1.2%,2.3%,3.414,5.2," 1,156.85 "," 10,192.51 "," 1,420.79 ",2.79
5/1/2005,193.6,-0.1%,1.0%,2.0%,200.5,0.1%,1.1%,2.2%,3.544166667,5.1," 1,191.50 "," 10,467.48 "," 1,542.63 ",3
6/1/2005,193.7,0.1%,1.0%,2.1%,200.6,0.0%,1.0%,2.0%,3.674333333,5," 1,191.33 "," 10,274.97 "," 1,493.52 ",3.04
7/1/2005,194.9,0.6%,1.7%,3.4%,200.9,0.1%,1.0%,1.9%,3.8045,5," 1,234.18 "," 10,640.91 "," 1,605.14 ",3.26
8/1/2005,196.1,0.6%,1.9%,3.8%,201.1,0.1%,0.9%,1.7%,2.909233333,4.9," 1,220.33 "," 10,481.60 "," 1,581.71 ",3.5
9/1/2005,198.8,1.4%,3.0%,5.9%,201.3,0.1%,0.6%,1.2%,2.013966667,5," 1,228.81 "," 10,568.70 "," 1,601.66 ",3.62
10/1/2005,199.1,0.2%,2.8%,5.6%,202,0.3%,0.9%,1.8%,1.1187,5," 1,207.01 "," 10,440.07 "," 1,579.18 ",3.78
11/1/2005,198.1,-0.5%,2.3%,4.6%,202.5,0.2%,1.0%,2.0%,2.351733333,5," 1,249.48 "," 10,805.87 "," 1,672.56 ",4
12/1/2005,198.1,0.0%,2.3%,4.5%,202.8,0.1%,1.1%,2.2%,3.584766667,4.9," 1,248.29 "," 10,717.50 "," 1,645.20 ",4.16
1/1/2006,199.3,0.6%,2.3%,4.5%,203.2,0.2%,1.1%,2.3%,4.8178,4.7," 1,280.08 "," 10,864.86 "," 1,710.75 ",4.29
2/1/2006,199.4,0.1%,1.7%,3.4%,203.6,0.2%,1.2%,2.5%,4.0311,4.8," 1,280.66 "," 10,993.41 "," 1,670.57 ",4.49
3/1/2006,199.7,0.2%,0.5%,0.9%,204.3,0.3%,1.5%,3.0%,3.2444,4.7," 1,294.82 "," 11,109.32 "," 1,703.66 ",4.59
4/1/2006,200.7,0.5%,0.8%,1.6%,204.8,0.2%,1.4%,2.8%,2.4577,4.7," 1,310.61 "," 11,367.14 "," 1,700.71 ",4.79
5/1/2006,201.3,0.3%,1.6%,3.2%,205.4,0.3%,1.4%,2.9%,2.1661,4.6," 1,270.09 "," 11,168.31 "," 1,579.58 ",4.94
6/1/2006,201.8,0.2%,1.9%,3.7%,205.9,0.2%,1.5%,3.1%,1.8745,4.6," 1,270.20 "," 11,150.22 "," 1,575.23 ",4.99
7/1/2006,202.9,0.5%,1.8%,3.6%,206.3,0.2%,1.5%,3.1%,1.5829,4.7," 1,276.66 "," 11,185.68 "," 1,509.43 ",5.24
8/1/2006,203.8,0.4%,2.2%,4.4%,206.8,0.2%,1.6%,3.1%,2.213066667,4.7," 1,303.82 "," 11,381.15 "," 1,579.73 ",5.25
9/1/2006,202.8,-0.5%,1.6%,3.1%,207.2,0.2%,1.4%,2.8%,2.843233333,4.5," 1,335.85 "," 11,679.07 "," 1,654.13 ",5.25
10/1/2006,201.9,-0.4%,0.6%,1.2%,207.6,0.2%,1.4%,2.7%,3.4734,4.4," 1,377.94 "," 12,080.73 "," 1,732.54 ",5.25
11/1/2006,202,0.0%,0.3%,0.7%,207.8,0.1%,1.2%,2.3%,2.735633333,4.5," 1,400.63 "," 12,221.93 "," 1,791.25 ",5.25
12/1/2006,203.1,0.5%,0.6%,1.3%,208.1,0.1%,1.1%,2.1%,1.997866667,4.4," 1,418.30 "," 12,463.15 "," 1,756.90 ",5.24
1/1/2007,203.437,0.2%,0.3%,0.5%,208.6,0.2%,1.1%,2.2%,1.2601,4.6," 1,438.24 "," 12,621.69 "," 1,792.28 ",5.25
2/1/2007,204.226,0.4%,0.2%,0.4%,209.135,0.3%,1.1%,2.3%,1.967466667,4.5," 1,406.82 "," 12,268.63 "," 1,761.65 ",5.26
3/1/2007,205.288,0.5%,1.2%,2.5%,209.418,0.1%,1.1%,2.1%,2.674833333,4.4," 1,420.86 "," 12,354.35 "," 1,772.36 ",5.26
4/1/2007,205.904,0.3%,2.0%,4.0%,209.747,0.2%,1.0%,2.1%,3.3822,4.5," 1,482.37 "," 13,062.91 "," 1,867.75 ",5.25
5/1/2007,206.755,0.4%,2.4%,4.7%,210.058,0.1%,1.1%,2.2%,3.553433333,4.4," 1,530.62 "," 13,627.64 "," 1,928.19 ",5.25
6/1/2007,207.234,0.2%,2.0%,4.1%,210.392,0.2%,1.1%,2.2%,3.724666667,4.6," 1,503.35 "," 13,408.62 "," 1,934.10 ",5.25
7/1/2007,207.603,0.2%,2.0%,4.1%,210.773,0.2%,1.0%,2.1%,3.8959,4.7," 1,455.27 "," 13,211.99 "," 1,932.06 ",5.26
8/1/2007,207.667,0.0%,1.7%,3.4%,211.119,0.2%,0.9%,1.9%,2.809333333,4.6," 1,473.99 "," 13,357.74 "," 1,988.73 ",5.02
9/1/2007,208.547,0.4%,1.6%,3.2%,211.554,0.2%,1.0%,2.0%,1.722766667,4.7," 1,526.75 "," 13,895.63 "," 2,091.11 ",4.94
10/1/2007,209.19,0.3%,1.6%,3.2%,212.077,0.2%,1.1%,2.2%,0.6362,4.7," 1,549.38 "," 13,930.01 "," 2,238.98 ",4.76
11/1/2007,210.834,0.8%,2.0%,3.9%,212.66,0.3%,1.2%,2.5%,0.623266667,4.7," 1,481.14 "," 13,371.72 "," 2,089.10 ",4.49
12/1/2007,211.445,0.3%,2.0%,4.1%,213.168,0.2%,1.3%,2.6%,0.610333333,5," 1,468.36 "," 13,264.82 "," 2,084.93 ",4.24
1/1/2008,212.174,0.3%,2.2%,4.4%,213.771,0.3%,1.4%,2.8%,0.5974,5," 1,378.55 "," 12,650.36 "," 1,841.42 ",3.94
2/1/2008,212.687,0.2%,2.4%,4.8%,213.939,0.1%,1.3%,2.7%,1.0278,4.9," 1,330.63 "," 12,266.39 "," 1,745.27 ",2.98
3/1/2008,213.448,0.4%,2.4%,4.7%,214.42,0.2%,1.4%,2.7%,1.4582,5.1," 1,322.70 "," 12,262.89 "," 1,781.93 ",2.61
4/1/2008,213.942,0.2%,2.3%,4.5%,214.56,0.1%,1.2%,2.3%,1.8886,5," 1,385.59 "," 12,820.13 "," 1,917.70 ",2.28
5/1/2008,215.208,0.6%,2.1%,4.1%,214.936,0.2%,1.1%,2.1%,1.175,5.4," 1,400.38 "," 12,638.32 "," 2,032.57 ",1.98
6/1/2008,217.463,1.0%,2.8%,5.7%,215.424,0.2%,1.1%,2.1%,0.4614,5.6," 1,280.00 "," 11,350.01 "," 1,837.09 ",2
7/1/2008,219.016,0.7%,3.2%,6.4%,215.965,0.3%,1.0%,2.1%,-0.2522,5.8," 1,267.38 "," 11,378.02 "," 1,849.15 ",2.01
8/1/2008,218.69,-0.1%,2.8%,5.6%,216.393,0.2%,1.1%,2.3%,-1.436033333,6.1," 1,282.83 "," 11,543.55 "," 1,872.54 ",2
9/1/2008,218.877,0.1%,2.5%,5.1%,216.713,0.1%,1.1%,2.1%,-2.619866667,6.1," 1,166.36 "," 10,850.66 "," 1,594.63 ",1.81
10/1/2008,216.995,-0.9%,1.4%,2.9%,216.788,0.0%,1.0%,2.1%,-3.8037,6.5, 968.75 ," 9,325.01 "," 1,334.78 ",0.97
11/1/2008,213.153,-1.8%,-1.0%,-1.9%,216.947,0.1%,0.9%,1.9%,-4.5837,6.8, 896.24 ," 8,829.04 "," 1,185.75 ",0.39
12/1/2008,211.398,-0.8%,-2.8%,-5.6%,216.925,0.0%,0.7%,1.4%,-5.3637,7.3, 903.25 ," 8,776.39 "," 1,211.65 ",0.16
1/1/2009,211.933,0.3%,-3.2%,-6.5%,217.346,0.2%,0.6%,1.3%,-6.1437,7.8, 825.88 ," 8,000.86 "," 1,180.25 ",0.15
2/1/2009,212.705,0.4%,-2.7%,-5.5%,217.792,0.2%,0.6%,1.3%,-4.4349,8.3, 735.09 ," 7,062.93 "," 1,116.99 ",0.22
3/1/2009,212.495,-0.1%,-2.9%,-5.8%,218.253,0.2%,0.7%,1.4%,-2.7261,8.7, 797.87 ," 7,608.92 "," 1,237.01 ",0.18
4/1/2009,212.709,0.1%,-2.0%,-4.0%,218.706,0.2%,0.9%,1.8%,-1.0173,9, 872.81 ," 8,168.12 "," 1,394.33 ",0.15
5/1/2009,213.022,0.1%,-0.1%,-0.1%,218.904,0.1%,0.9%,1.8%,0.499766667,9.4, 919.14 ," 8,500.33 "," 1,435.57 ",0.18
6/1/2009,214.79,0.8%,1.6%,3.2%,219.112,0.1%,1.0%,2.0%,2.016833333,9.5, 919.32 ," 8,447.00 "," 1,477.25 ",0.21
7/1/2009,214.726,0.0%,1.3%,2.6%,219.263,0.1%,0.9%,1.8%,3.5339,9.5, 987.48 ," 9,171.61 "," 1,603.36 ",0.16
8/1/2009,215.445,0.3%,1.3%,2.6%,219.496,0.1%,0.8%,1.6%,4.266233333,9.6," 1,020.62 "," 9,496.28 "," 1,625.19 ",0.16
9/1/2009,215.861,0.2%,1.6%,3.2%,219.92,0.2%,0.8%,1.5%,4.998566667,9.8," 1,057.08 "," 9,712.28 "," 1,718.99 ",0.15
10/1/2009,216.509,0.3%,1.8%,3.6%,220.501,0.3%,0.8%,1.6%,5.7309,10," 1,036.19 "," 9,712.73 "," 1,667.13 ",0.12
11/1/2009,217.234,0.3%,2.0%,4.0%,220.666,0.1%,0.8%,1.6%,4.900166667,9.9," 1,095.63 "," 10,344.84 "," 1,767.43 ",0.12
12/1/2009,217.347,0.1%,1.2%,2.4%,220.881,0.1%,0.8%,1.6%,4.069433333,9.9," 1,115.10 "," 10,428.05 "," 1,860.31 ",0.12
1/1/2010,217.488,0.1%,1.3%,2.6%,220.633,-0.1%,0.6%,1.2%,3.2387,9.8," 1,073.87 "," 10,067.33 "," 1,741.04 ",0.11
2/1/2010,217.281,-0.1%,0.9%,1.7%,220.731,0.0%,0.6%,1.1%,2.954666667,9.8," 1,104.49 "," 10,325.26 "," 1,818.68 ",0.13
3/1/2010,217.353,0.0%,0.7%,1.4%,220.783,0.0%,0.4%,0.8%,2.670633333,9.9," 1,169.43 "," 10,856.63 "," 1,958.34 ",0.16
4/1/2010,217.403,0.0%,0.4%,0.8%,220.822,0.0%,0.1%,0.3%,2.3866,9.9," 1,186.68 "," 11,008.61 "," 2,000.63 ",0.2
5/1/2010,217.29,-0.1%,0.0%,0.1%,220.962,0.1%,0.1%,0.3%,2.260966667,9.6," 1,089.41 "," 10,136.63 "," 1,852.39 ",0.2
6/1/2010,217.199,0.0%,-0.1%,-0.1%,221.194,0.1%,0.1%,0.3%,2.135333333,9.4," 1,030.71 "," 9,774.02 "," 1,739.14 ",0.18
7/1/2010,217.605,0.2%,0.1%,0.1%,221.363,0.1%,0.3%,0.7%,2.0097,9.4," 1,101.60 "," 10,465.94 "," 1,864.00 ",0.18
8/1/2010,217.923,0.1%,0.3%,0.6%,221.509,0.1%,0.4%,0.7%,2.397466667,9.5," 1,049.33 "," 10,014.72 "," 1,767.43 ",0.19
9/1/2010,218.275,0.2%,0.4%,0.8%,221.711,0.1%,0.4%,0.8%,2.785233333,9.5," 1,141.20 "," 10,788.05 "," 1,998.04 ",0.19
10/1/2010,219.035,0.3%,0.8%,1.5%,221.83,0.1%,0.5%,0.9%,3.173,9.4," 1,183.26 "," 11,118.49 "," 2,124.45 ",0.19
11/1/2010,219.59,0.3%,1.1%,2.1%,222.149,0.1%,0.5%,1.1%,2.698066667,9.8," 1,180.55 "," 11,006.02 "," 2,117.33 ",0.19
12/1/2010,220.472,0.4%,1.5%,3.0%,222.343,0.1%,0.5%,1.0%,2.223133333,9.3," 1,257.64 "," 11,577.51 "," 2,217.86 ",0.18
1/1/2011,221.187,0.3%,1.6%,3.3%,222.803,0.2%,0.7%,1.3%,1.7482,9.1," 1,286.12 "," 11,891.93 "," 2,281.91 ",0.17
2/1/2011,221.898,0.3%,1.8%,3.6%,223.213,0.2%,0.8%,1.5%,1.592866667,9," 1,327.22 "," 12,226.34 "," 2,350.99 ",0.16
3/1/2011,223.046,0.5%,2.2%,4.4%,223.454,0.1%,0.8%,1.6%,1.437533333,9," 1,325.83 "," 12,319.73 "," 2,338.99 ",0.14
4/1/2011,224.093,0.5%,2.3%,4.6%,223.727,0.1%,0.9%,1.7%,1.2822,9.1," 1,363.61 "," 12,810.54 "," 2,404.08 ",0.1
5/1/2011,224.806,0.3%,2.4%,4.8%,224.175,0.2%,0.9%,1.8%,1.676033333,9," 1,345.20 "," 12,569.79 "," 2,372.54 ",0.09
6/1/2011,224.806,0.0%,2.0%,3.9%,224.697,0.2%,1.1%,2.1%,2.069866667,9.1," 1,320.64 "," 12,414.34 "," 2,325.07 ",0.09
7/1/2011,225.395,0.3%,1.9%,3.8%,225.218,0.2%,1.1%,2.2%,2.4637,9," 1,292.28 "," 12,143.24 "," 2,362.81 ",0.07
8/1/2011,226.106,0.3%,1.9%,3.8%,225.862,0.3%,1.2%,2.4%,2.5599,9," 1,218.89 "," 11,613.53 "," 2,241.01 ",0.1
9/1/2011,226.597,0.2%,1.6%,3.2%,226.118,0.1%,1.2%,2.4%,2.6561,9," 1,131.42 "," 10,913.38 "," 2,139.18 ",0.08
10/1/2011,226.75,0.1%,1.2%,2.4%,226.506,0.2%,1.2%,2.5%,2.7523,8.8," 1,253.30 "," 11,955.01 "," 2,360.08 ",0.07
11/1/2011,227.169,0.2%,1.1%,2.1%,226.899,0.2%,1.2%,2.4%,2.569633333,8.6," 1,246.96 "," 12,045.68 "," 2,295.20 ",0.08
12/1/2011,227.223,0.0%,1.1%,2.2%,227.405,0.2%,1.2%,2.4%,2.386966667,8.5," 1,257.60 "," 12,217.56 "," 2,277.83 ",0.07
1/1/2012,227.842,0.3%,1.1%,2.2%,227.877,0.2%,1.2%,2.4%,2.2043,8.3," 1,312.41 "," 12,632.91 "," 2,467.95 ",0.08
2/1/2012,228.329,0.2%,1.0%,2.0%,228.034,0.1%,1.0%,1.9%,1.981833333,8.3," 1,365.68 "," 12,952.07 "," 2,623.10 ",0.1
3/1/2012,228.807,0.2%,1.0%,2.0%,228.478,0.2%,1.0%,2.1%,1.759366667,8.2," 1,408.47 "," 13,212.04 "," 2,755.27 ",0.13
4/1/2012,229.187,0.2%,1.1%,2.1%,228.905,0.2%,1.1%,2.1%,1.5369,8.2," 1,397.91 "," 13,213.63 "," 2,723.68 ",0.14
5/1/2012,228.713,-0.2%,0.7%,1.4%,229.224,0.1%,1.0%,2.0%,1.695866667,8.2," 1,310.33 "," 12,393.45 "," 2,524.87 ",0.16
6/1/2012,228.524,-0.1%,0.6%,1.1%,229.623,0.2%,1.0%,2.0%,1.854833333,8.2," 1,362.16 "," 12,880.09 "," 2,615.72 ",0.16
7/1/2012,228.59,0.0%,0.3%,0.7%,229.97,0.2%,0.9%,1.8%,2.0138,8.2," 1,379.32 "," 13,008.68 "," 2,642.53 ",0.16
